Year,Player,Age,Tm,G
18192,2006,Jiri Welsch,26,MIL,58
18193,2006,David Wesley,35,HOU,71
18194,2006,David West,25,NOK,74
18195,2006,Delonte West,22,BOS,71
18196,2006,Robert Whaley,23,UTA,23
18197,2006,Chris Wilcox,23,TOT,77
18198,2006,Chris Wilcox,23,LAC,48
18199,2006,Chris Wilcox,23,SEA,29
18200,2006,Damien Wilkins,26,SEA,82
18201,2006,Mike Wilks,26,TOT,47
18202,2006,Mike Wilks,26,CLE,37
18203,2006,Mike Wilks,26,SEA,10
18204,2006,Aaron Williams,34,TOT,48
18205,2006,Aaron Williams,34,TOR,14
18206,2006,Aaron Williams,34,NOK,34
18207,2006,Alvin Williams,31,TOR,1
18208,2006,Deron Williams,21,UTA,80
18209,2006,Eric Williams,33,TOR,28
18210,2006,Jason Williams,30,MIA,59
18211,2006,Lou Williams,19,PHI,30
18212,2006,Marvin Williams,19,ATL,79
18213,2006,Mo Williams,23,MIL,58
18214,2006,Corliss Williamson,32,SAC,37
18215,2006,Loren Woods,27,TOR,27
18216,2006,Qyntel Woods,24,NYK,49
18217,2006,Metta World,26,TOT,56
18218,2006,Metta World,26,IND,16
18219,2006,Metta World,26,SAC,40
18220,2006,Antoine Wright,21,NJN,39
18221,2006,Bracey Wright,21,MIN,7
18222,2006,Dorell Wright,20,MIA,20
18223,2006,Lorenzen Wright,30,MEM,78
18224,2006,Derrick Zimmerman,24,NJN,2
18226,2007,Shareef Abdur-Rahim,30,SAC,80
18227,2007,Hassan Adams,22,NJN,61
18228,2007,Maurice Ager,22,DAL,32
18229,2007,LaMarcus Aldridge,21,POR,63
18230,2007,Malik Allen,28,CHI,60
18231,2007,Ray Allen,31,SEA,55
18232,2007,Tony Allen,25,BOS,33
18233,2007,Rafer Alston,30,HOU,82
18234,2007,Lou Amundson,24,TOT,11
18235,2007,Lou Amundson,24,UTA,1
18236,2007,Lou Amundson,24,PHI,10
18237,2007,Alan Anderson,24,CHA,17
18238,2007,Derek Anderson,32,CHA,50
18239,2007,Carmelo Anthony,22,DEN,65
18240,2007,Rafael Araujo,26,UTA,28
18241,2007,Gilbert Arenas,25,WAS,74
18242,2007,Trevor Ariza,21,ORL,57
18243,2007,Darrell Armstrong,38,IND,81
18244,2007,Hilton Armstrong,22,NOK,56
18245,2007,Carlos Arroyo,27,ORL,72
18246,2007,Chucky Atkins,32,MEM,75
18247,2007,James Augustine,22,ORL,2
18248,2007,Kelenna Azubuike,23,GSW,41
18249,2007,Renaldo Balkman,22,NYK,68
18250,2007,Marcus Banks,25,PHO,45
18251,2007,Leandro Barbosa,24,PHO,80
18252,2007,J.J. Barea,22,DAL,33
18253,2007,Andrea Bargnani,21,TOR,65
18254,2007,Matt Barnes,26,GSW,76
18255,2007,Andre Barrett,24,CHI,6
18256,2007,Earl Barron,25,MIA,28
18257,2007,Brent Barry,35,SAS,75
18258,2007,Brandon Bass,21,NOK,21
18259,2007,Maceo Baston,31,IND,47
18260,2007,Esteban Batista,23,ATL,13
18261,2007,Tony Battie,30,ORL,66
18262,2007,Shane Battier,28,HOU,82
18263,2007,Charlie Bell,27,MIL,82
18264,2007,Raja Bell,30,PHO,78
18265,2007,Mike Bibby,28,SAC,82
18266,2007,Andris Biedrins,20,GSW,82
18267,2007,Chauncey Billups,30,DET,70
18268,2007,Steve Blake,26,TOT,82
18269,2007,Steve Blake,26,MIL,33
18270,2007,Steve Blake,26,DEN,49
18271,2007,Will Blalock,23,DET,14
18272,2007,Andray Blatche,20,WAS,56
18273,2007,Mark Blount,31,MIN,82
18274,2007,Keith Bogans,26,ORL,59
18275,2007,Andrew Bogut,22,MIL,66
18276,2007,Matt Bonner,26,SAS,56
18277,2007,Josh Boone,22,NJN,61
18278,2007,Calvin Booth,30,WAS,44
18279,2007,Carlos Boozer,25,UTA,74
18280,2007,Chris Bosh,22,TOR,69
18281,2007,Bruce Bowen,35,SAS,82
18282,2007,Earl Boykins,30,TOT,66
18283,2007,Earl Boykins,30,DEN,31
18284,2007,Earl Boykins,30,MIL,35
18285,2007,Cedric Bozeman,23,ATL,23
